bildid	bil_landing_page	contributor	affiliation	award_number	project	consortium	bildirectory	generalmodality	technique	species	taxonomy	genotype	samplelocalid	size	pretty_size	number_of_files	file_types	frequencies
ace-bag-wig	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-wig	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/56/b8/56b8adf4e95108c9/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210210_CJLoreleai_Ex12_S2_Lamp5+_HRH1-_Hippo-Region 016	3758224103	3.5G	447	"{'images': 445, 'other': 1, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bag-toy	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-toy	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/ce/a8/cea83fb90be09ff1	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Cortex 20201201_CJYanma_Ex10_PVALB+THSD7a+_Hippo-Region 017	3758381631	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.jpg': 1, '.swc': 1, '.tiff': 1, '.txt': 1}"
ace-bag-try	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-try	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/ab/27/ab27746ad2957f35/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Hippocampus 20201201_CJYanma_Ex10_PVALB+THSD7a+_Hippo-Region 022	3758432983	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.jpg': 1, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bag-tub	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-tub	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/20/2c/202ca88045e53704	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Hippocampus 20201201_CJYanma_Ex10_PVALB+THSD7a+_Hippo-Region 027	3758383498	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.jpg': 1, '.txt': 1, '.tiff': 1}"
ace-bag-top	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-top	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/cf/1c/cf1c2af6b7b0a8a8/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Cortex 20201201_CJYanma_Ex10_PVALB+THSD7a-Hippo-Region 002	3758428853	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.swc': 1, '.jpg': 1, '.tiff': 1}"
ace-bag-tip	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-tip	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/07/50/07504513d424f013/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CJYanma	Cortex 20201201_CJYanma_Ex10_PVALB+THSD7a-_Hippo-Region 004	3758400256	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.swc': 1, '.jpg': 1, '.tiff': 1}"
ace-bag-tug	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-tug	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/f4/39/f4390e4cfd633d68/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Cortex 20201202_CJYanma_Ex10_S2_Pvalb+IBSP+_Hippo-Region 099	3758413407	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.swc': 1, '.jpg': 1, '.txt': 1}"
ace-bag-use	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-use	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/2f/2b/2f2b64518bbe0d85	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	 Hippocampus 20201202_CJYanma_Ex10_S2_Pvalb+IBSP+_Hippo-Region 118	3758395646	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.swc': 1, '.txt': 1, '.jpg': 1}"
ace-bag-van	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-van	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/33/ad/33ad9a065af989f6	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Cortex 20201202_CJYanma_Ex10_S2_Pvalb+IBSP-_Hippo-Region 073	3758401752	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.txt': 1, '.tiff': 1, '.jpg': 1}"
ace-bag-vat	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-vat	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/54/cc/54cc5175c66a2b88	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Hippocampus 20201202_CJYanma_Ex10_S2_Pvalb+_IBSP-_Hippo-Region 109	3758391199	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.txt': 1, '.swc': 1, '.jpg': 1}"
ace-ban-bad	https://api.brainimagelibrary.org/web/view?bildid=ace-ban-bad	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/5f/80/5f80eba09b72bb20	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210224_CJLoreleai_Ex13_S2_SST+_TRHDE+_Hippo-Region 022	3758805288	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.swc': 1, '.txt': 1, '.jpg': 1}"
ace-ban-ban	https://api.brainimagelibrary.org/web/view?bildid=ace-ban-ban	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/56/8a/568ad9c3e8b193d0/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210224_CJLoreleai_Ex13_S2_SST+_TRHDE+_Hippo-Region 028	3758315989	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.jpg': 1, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-rip	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rip	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/97/02/970294e86ff75a67	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210209_CJLoreleai_Ex12_S1_Lamp5+_RXFP1-_Hippo-Region 082	3758378186	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.jpg': 1, '.swc': 1, '.txt': 1, '.tiff': 1}"
ace-bet-run	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-run	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/9a/53/9a53a80e937b1ec0	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	 Cortex 20210223_CJLoreleai_Ex13_S1_SST+_SFRP2+_Hippo-Region 054	3758336982	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.txt': 1, '.tiff': 1, '.jpg': 1}"
ace-bet-rut	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rut	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/a0/6b/a06b8dd74d6763b3	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20210223_CJLoreleai_Ex13_S1_SST+_SFRP2-_Hippo-Region 030	3758339904	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.tiff': 1, '.swc': 1, '.jpg': 1}"
ace-bet-rye	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-rye	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/ba/de/badeeb198fa71920	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20210223_CJLoreleai_Ex13_S1_SST+_SFRP2-_Hippo-Region 031	3758336788	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.tiff': 1, '.txt': 1, '.jpg': 1}"
ace-bet-sap	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-sap	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/9b/5c/9b5cdfca4c1ccd3d/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20200113_CJLoreleai_Ex11_S2_VIP+C3LN2+_Hippo-Region 036	3758348889	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.txt': 1, '.swc': 1, '.jpg': 1}"
ace-bet-sat	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-sat	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/fa/ca/faca45be7d664c82	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20200113_CJLoreleai_Ex11_S2_VIP+C3LN2+_Hippo-Region 037	3758347579	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.jpg': 1, '.tiff': 1, '.txt': 1}"
ace-bet-saw	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-saw	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/6f/e7/6fe7def35e34cf14	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Hippocampus 20200113_CJLoreleai_Ex11_S2_VIP+C3LN2+_Hippo-Region 075	3758340517	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.txt': 1, '.tiff': 1, '.jpg': 1}"
ace-bet-say	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-say	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/b1/40/b1404ce15cc7e377	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210412_CJLoreleai_Ex14_S6_VIP+_CRH+_Hippo-Region 010	3758293764	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.jpg': 1, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-bet-ski	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-ski	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/f3/3d/f33dc0f2a65dec20	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Striatum 20210607_CJLoreleai_Ex17_S5_VIP+_DIRAS-_Hippo-Region 096	3758304452	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.swc': 1, '.txt': 1, '.jpg': 1, '.tiff': 1}"
ace-bet-sky	https://api.brainimagelibrary.org/web/view?bildid=ace-bet-sky	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/02/cc/02cc9f44efb33329	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210310_CJLoreleai_Ex14_S2_VIP+IGFBP5+_CTX-Region 012	3758241458	3.5G	448	"{'images': 445, 'other': 2, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.txt': 1, '.jpg': 1, '.swc': 1}"
